generated_at=2025-08-16T15:57:09.822820+00:00
ADA/USDT,5m,macd_cross,bearish,none,price=0.910332
ALGO/USDT,5m,macd_cross,bearish,none,price=0.26208
ALGO/USDT,1m,breakout_dn,True,False,price=0.26208
AVAX/USDT,1w,scalp_ema,bearish,bullish,price=24.24
AVAX/USDT,1h,breakout_up,False,True,price=24.24
AVAX/USDT,15m,breakout_up,False,True,price=24.24
AVAX/USDT,15m,long_regime,below_200,above_200,price=24.24
AVAX/USDT,5m,rsi_zone,neutral,overbought,price=24.24
AVAX/USDT,1m,rsi_zone,neutral,overbought,price=24.24
AVAX/USDT,1m,scalp_ema,bearish,bullish,price=24.24
BCH/USDT,1h,rsi_zone,neutral,oversold,price=580.36
BCH/USDT,1h,breakout_dn,False,True,price=580.36
BCH/USDT,15m,breakout_dn,False,True,price=580.36
BCH/USDT,5m,breakout_dn,False,True,price=580.36
BTC/USDT,1m,trend,trending,choppy,price=117701.2
DOGE/USDT,5m,macd_cross,bearish,none,price=0.22863
DOGE/USDT,1m,long_regime,below_200,above_200,price=0.22863
ETH/USDT,1m,rsi_zone,oversold,neutral,price=4398.13
